Location Listing,,,,,,,
,,Max,Fill,Always,,,
Location Name,Location Formal Name,Capacity,Ratio,Shared,Campus Partition,Default Layout,Capacity
FR 242,BOS-Forsyth 242,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
HA 012,BOS-Hayden-012,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
HA 221,BOS-Hayden-221,55,,No,BOSTON CLASSROOMS,CLASSROOM,55
HA 222,BOS-Hayden-222,30,,No,BOSTON CLASSROOMS,CLASSROOM,30
HA 321,BOS-Hayden-321,32,,No,BOSTON CLASSROOMS,CLASSROOM,32
HA 322,BOS-Hayden-322,55,,No,BOSTON CLASSROOMS,CLASSROOM,55
HA 424,BOS-Hayden-424,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
HA 425,BOS-Hayden-425,34,,No,BOSTON CLASSROOMS,CLASSROOM,34
HS 101,BOS-HASTINGS-101,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
HS 102,BOS-HASTINGS-102,42,,No,BOSTON CLASSROOMS,CLASSROOM,42
HS 103,BOS-HASTINGS-103,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
HS 105,BOS-HASTINGS-105,23,,No,BOSTON CLASSROOMS,CLASSROOM,23
HS 106,BOS-HASTINGS-106,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
HS 107,BOS-HASTINGS-107,32,,No,BOSTON CLASSROOMS,CLASSROOM,32
HS 108,BOS-HASTINGS-108,35,,No,BOSTON CLASSROOMS,CLASSROOM,35
HS 109,BOS-HASTINGS-109,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
HS 111,BOS-HASTINGS-111,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
HS 112,BOS-HASTINGS-112,26,,No,BOSTON CLASSROOMS,CLASSROOM,26
HS 113,BOS-HASTINGS-113,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
HS 201,BOS-HASTINGS-201,47,,No,BOSTON CLASSROOMS,CLASSROOM,47
HS 202,BOS-HASTINGS-202,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
HS 204,BOS-HASTINGS-204,25,,No,BOSTON CLASSROOMS,CLASSROOM,25
HS 205,BOS-HASTINGS-205,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
HS 206,BOS-HASTINGS-206,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
HS 207,BOS-HASTINGS-207,29,,No,BOSTON CLASSROOMS,CLASSROOM,29
HS 209,BOS-HASTINGS-209,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
HS 210,BOS-HASTINGS-210,43,,No,BOSTON CLASSROOMS,CLASSROOM,43
HS 211,BOS-HASTINGS-211,42,,No,BOSTON CLASSROOMS,CLASSROOM,42
HT 129,BOS-Hurtig-129,103,,No,BOSTON CLASSROOMS,CLASSROOM,103
HT 130,BOS-Hurtig-130,103,,No,BOSTON CLASSROOMS,CLASSROOM,103
HT 224,BOS-Hurtig-224,58,,No,BOSTON CLASSROOMS,CLASSROOM,58
HT 308,BOS-Hurtig-308,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
HT 310,BOS-Hurtig-310,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
INV 013,BOS-INV-013,26,,No,BOSTON CLASSROOMS,CLASSROOM,26
INV 014,BOS-INV-014,21,,No,BOSTON CLASSROOMS,CLASSROOM,21
INV 016,BOS-INV-016,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
INV 018,BOS-INV-018,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
INV 019,BOS-INV-019,97,,No,BOSTON CLASSROOMS,CLASSROOM,97
INV 022,BOS-INV-022,44,,No,BOSTON CLASSROOMS,CLASSROOM,44
ISEC 102,BOS-ISEC-102,275,,No,BOSTON CLASSROOMS,CLASSROOM,275
ISEC 136,BOS-ISEC-136,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
ISEC 138,BOS-ISEC-138,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
ISEC 140,BOS-ISEC-140,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
ISEC 142,BOS-ISEC-142,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
KA 005,BOS-Kariotis-005,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
KA 011,BOS-Kariotis-011,51,,No,BOSTON CLASSROOMS,CLASSROOM,51
KA 102,BOS-Kariotis-102,30,,No,BOSTON CLASSROOMS,CLASSROOM,30
KA 104,BOS-Kariotis-104,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
KA 110,BOS-Kariotis-110,40,,No,BOSTON CLASSROOMS,CLASSROOM,40
KA 202,BOS-Kariotis-202,30,,No,BOSTON CLASSROOMS,CLASSROOM,30
KA 204,BOS-Kariotis-204,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
KA 208,BOS-Kariotis-208,18,,No,BOSTON CLASSROOMS,CLASSROOM,18
KA 209,BOS-Kariotis-209,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
KA 302,BOS-Kariotis-302,30,,No,BOSTON CLASSROOMS,CLASSROOM,30
KA 304,BOS-Kariotis-304,18,,No,BOSTON CLASSROOMS,CLASSROOM,18
KA 308,BOS-Kariotis-308,7,,No,BOSTON CLASSROOMS,CLASSROOM,7
KA 309,BOS-Kariotis-309,52,,No,BOSTON CLASSROOMS,CLASSROOM,52
KN 002A,BOS-Knowles-002A,30,,No,BOSTON CLASSROOMS,CLASSROOM,30
KN 002B,BOS-Knowles-002B,45,,No,BOSTON CLASSROOMS,CLASSROOM,45
KN 010,BOS-Knowles-010,75,,No,BOSTON CLASSROOMS,CLASSROOM,75
MU 201,BOS-Mugar-201,187,,No,BOSTON CLASSROOMS,CLASSROOM,187
RB 107,BOS-Robinson-107,74,,No,BOSTON CLASSROOMS,CLASSROOM,74
RB 109,BOS-Robinson-109,74,,No,BOSTON CLASSROOMS,CLASSROOM,74
RB 409,BOS-Robinson-409,54,,No,BOSTON CLASSROOMS,CLASSROOM,54
RB 411,BOS-Robinson-411,51,,No,BOSTON CLASSROOMS,CLASSROOM,51
RI 140,BOS-Richards-140,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
RI 155,BOS-Richards-155,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
RI 160,BOS-Richards-160,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
RI 165,BOS-Richards-165,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
RI 225,BOS-Richards-225,35,,No,BOSTON CLASSROOMS,CLASSROOM,35
RI 226,BOS-Richards-226,35,,No,BOSTON CLASSROOMS,CLASSROOM,35
RI 227,BOS-Richards-227,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
RI 228,BOS-Richards-228,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
RI 229,BOS-Richards-229,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
RI 231,BOS-Richards-231,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
RI 233,BOS-Richards-233,35,,No,BOSTON CLASSROOMS,CLASSROOM,35
RI 235,BOS-Richards-235,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
RI 236,BOS-Richards-236,149,,No,BOSTON CLASSROOMS,CLASSROOM,149
RI 237,BOS-Richards-237,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
RI 238,BOS-Richards-238,42,,No,BOSTON CLASSROOMS,CLASSROOM,42
RI 239,BOS-Richards-239,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
RI 241,BOS-Richards-241,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
RI 243,BOS-Richards-243,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
RI 253,BOS-Richards-253,54,,No,BOSTON CLASSROOMS,CLASSROOM,54
RI 254,BOS-Richards-254,54,,No,BOSTON CLASSROOMS,CLASSROOM,54
RI 275,BOS-Richards-275,38,,No,BOSTON CLASSROOMS,CLASSROOM,38
RI 300,BOS-Richards-300,107,,No,BOSTON CLASSROOMS,CLASSROOM,107
RI 325,BOS-Richards-325,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
RI 325A,BOS-Richards-325A,13,,No,BOSTON CLASSROOMS,CLASSROOM,13
RI 458,BOS-Richards-458,117,,No,BOSTON CLASSROOMS,CLASSROOM,117
RY 124,BOS-Ryder-124,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
RY 126,BOS-Ryder-126,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
RY 128,BOS-Ryder-128,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
RY 141,BOS-Ryder-141,18,,No,BOSTON CLASSROOMS,CLASSROOM,18
RY 143,BOS-Ryder-143,18,,No,BOSTON CLASSROOMS,CLASSROOM,18
RY 145,BOS-Ryder-145,12,,No,BOSTON CLASSROOMS,CLASSROOM,12
RY 147,BOS-Ryder-147,18,,No,BOSTON CLASSROOMS,CLASSROOM,18
RY 153,BOS-Ryder-153,33,,No,BOSTON CLASSROOMS,CLASSROOM,33
RY 154,BOS-Ryder-154,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
RY 155,BOS-Ryder-155,33,,No,BOSTON CLASSROOMS,CLASSROOM,33
RY 156,BOS-Ryder-156,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
RY 157,BOS-Ryder-157,33,,No,BOSTON CLASSROOMS,CLASSROOM,33
RY 158,BOS-Ryder-158,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
RY 159,BOS-Ryder-159,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
RY 161,BOS-Ryder-161,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
RY 202,BOS-Ryder-202,17,,No,BOSTON CLASSROOMS,CLASSROOM,17
RY 203,BOS-Ryder-203,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
RY 204,BOS-Ryder-204,15,,No,BOSTON CLASSROOMS,CLASSROOM,15
RY 205,BOS-Ryder-205,18,,No,BOSTON CLASSROOMS,CLASSROOM,18
RY 207,BOS-Ryder-207,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
RY 209,BOS-Ryder-209,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
RY 215,BOS-Ryder-215,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
RY 217,BOS-Ryder-217,42,,No,BOSTON CLASSROOMS,CLASSROOM,42
RY 220,BOS-Ryder-220,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 233,BOS-Ryder-233,33,,No,BOSTON CLASSROOMS,CLASSROOM,33
RY 235,BOS-Ryder-235,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
RY 243,BOS-Ryder-243,21,,No,BOSTON CLASSROOMS,CLASSROOM,21
RY 245,BOS-Ryder-245,21,,No,BOSTON CLASSROOMS,CLASSROOM,21
RY 247,BOS-Ryder-247,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
RY 264,BOS-Ryder-264,16,,No,BOSTON CLASSROOMS,CLASSROOM,16
RY 265,BOS-Ryder-265,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
RY 266,BOS-Ryder-266,19,,No,BOSTON CLASSROOMS,CLASSROOM,19
RY 267,BOS-Ryder-267,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 268,BOS-Ryder-268,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 269,BOS-Ryder-269,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 270,BOS-Ryder-270,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 271,BOS-Ryder-271,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 273,BOS-Ryder-273,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 275,BOS-Ryder-275,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 277,BOS-Ryder-277,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 283,BOS-Ryder-283,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 285,BOS-Ryder-285,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 291,BOS-Ryder-291,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 293,BOS-Ryder-293,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
RY 296,BOS-Ryder-296,33,,No,BOSTON CLASSROOMS,CLASSROOM,33
RY 297,BOS-Ryder-297,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
RY 299,BOS-Ryder-299,14,,No,BOSTON CLASSROOMS,CLASSROOM,14
RY 394,BOS-Ryder-394,21,,No,BOSTON CLASSROOMS,CLASSROOM,21
RY 429,BOS-Ryder-429,42,,No,BOSTON CLASSROOMS,CLASSROOM,42
RY 431,BOS-Ryder-431,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
RY 433,BOS-Ryder-433,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
RY 435,BOS-Ryder-435,33,,No,BOSTON CLASSROOMS,CLASSROOM,33
RY 452,BOS-Ryder-452,26,,No,BOSTON CLASSROOMS,CLASSROOM,26
RY 454,BOS-Ryder-454,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
RY 456,BOS-Ryder-456,30,,No,BOSTON CLASSROOMS,CLASSROOM,30
RY 460,BOS-Ryder-460,25,,No,BOSTON CLASSROOMS,CLASSROOM,25
SE 020,BOS-Stetson East-020,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
SH 105,BOS-Shillman-105,114,,No,BOSTON CLASSROOMS,CLASSROOM,114
SH 135,BOS-Shillman-135,114,,No,BOSTON CLASSROOMS,CLASSROOM,114
SH 210,BOS-Shillman-210,46,,No,BOSTON CLASSROOMS,CLASSROOM,46
SH 215,BOS-Shillman-215,52,,No,BOSTON CLASSROOMS,CLASSROOM,52
SH 220,BOS-Shillman-220,76,,No,BOSTON CLASSROOMS,CLASSROOM,76
SH 305,BOS-Shillman-305,114,,No,BOSTON CLASSROOMS,CLASSROOM,114
SH 315,BOS-Shillman-315,52,,No,BOSTON CLASSROOMS,CLASSROOM,52
SH 320,BOS-Shillman-320,76,,No,BOSTON CLASSROOMS,CLASSROOM,76
SH 325,BOS-Shillman-325,52,,No,BOSTON CLASSROOMS,CLASSROOM,52
SH 335,BOS-Shillman-335,114,,No,BOSTON CLASSROOMS,CLASSROOM,114
SH 415,BOS-Shillman-415,52,,No,BOSTON CLASSROOMS,CLASSROOM,52
SH 420,BOS-Shillman-420,76,,No,BOSTON CLASSROOMS,CLASSROOM,76
SH 425,BOS-Shillman-425,52,,No,BOSTON CLASSROOMS,CLASSROOM,52
SL 001,BOS-Snell Library-001,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
SL 002,BOS-Snell Library-002,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
