room_name,capacity
BOS-Snell Library-035,54
BOS-Snell Library-037,48
BOS-Snell Library-039,45
BOS-Snell Library-043,24
BOS-Snell Library-045,12
BOS-Snell Library-047,14
BOS-Snell Library-049,16
BOS-Snell Library-111,42
BOS-Snell Library-115,36
BOS-Snell Library-117,49
BOS-Snell Library-119,40
BOS-Snell Library-121,48
BOS-Snell Library-123,40
BOS-Snell Library-125,33
BOS-Snell Engineering-108,184
BOS-Snell Engineering-168,184
BOS-Stearns-012,20
BOS-West Village-140C,28
BOS-West Village-020F,257
JDOAAI -Classroom - 114,18
JDOAAI - Classroom - 116,13
JDOAAI - Classroom - 118,22
BOS-West Village -102G,73
BOS-West Village -104G,73
BOS-West Village -106G,73
BOS-West Village -108G,73
BOS-West Village -108H,68
BOS-West Village -110H,68
