CRN,CourseID,num_students
20135,ME2350,50.0
10234,PHYS1147,127.0
12381,PHYS1147,94.0
10234,PHYS1147,127.0
12381,PHYS1147,94.0
10466,ARAB2101,5.0
10254,ARTD2360,16.0
10163,ARTD2380,9.0
11292,ARTG2400,16.0
11293,ARTG2400,11.0
13880,ARTG3452,14.0
12744,BIOL2219,60.0
14975,BIOL2301,126.0
11670,BIOL4707,26.0
11014,CHME2310,48.0
11687,COMM1113,19.0
20158,COMM1113,17.0
12997,CRIM2370,18.0
18390,CS2100,12.0
14734,ECON2315,35.0
10501,EECE2412,16.0
20189,FINA4219,40.0
11498,GE1501,32.0
17309,HIST1389,35.0
19587,HIST2370,30.0
19397,HONR1310,7.0
12999,HUSV2370,10.0
11525,INTB1203,40.0
21453,INTB1203,40.0
11300,MATH3331,12.0
13777,MATH4577,6.0
18109,ME3470,8.0
10628,MISM2301,42.0
13758,MUSC1119,9.0
13125,MUSC1201,12.0
19481,MUSC3342,8.0
19486,MUSI2341,8.0
19657,NRSG5120,20.0
19657,NRSG5120,20.0
17361,PHIL3000,18.0
10232,PHYS1151,139.0
20195,PHYS4112,5.0
19705,POLS1150,28.0
13108,POLS2400,30.0
11304,POLS4910,29.0
12004,PSYC3200,149.0
11439,BIOE3380,48.0
12183,BIOE3380,28.0
15229,FINA2201,40.0
22091,FINA2201,40.0
10108,FINA2201,80.0
10331,FINA2201,41.0
10332,FINA2201,80.0
10334,FINA2201,80.0
12099,FINA2201,80.0
10109,FINA2201,42.0
15047,FINA2201,38.0
10335,FINA2201,42.0
12045,FINA2201,80.0
17791,FINA2201,40.0
10333,FINA2201,40.0
12046,FINA2201,42.0
12332,FINA2201,76.0
13447,MATH1341,19.0
10556,MATH1341,43.0
10761,MATH1341,24.0
10760,MATH1341,43.0
11226,MATH1341,37.0
10321,MATH1341,31.0
21843,MATH1341,19.0
10557,MATH1341,33.0
12835,MATH1341,48.0
13448,MATH1341,23.0
10691,MATH1341,42.0
10450,MATH1341,24.0
13341,MATH1341,41.0
21842,MATH1341,26.0
13331,MATH1341,24.0
10322,MATH1341,40.0
10323,MATH1341,34.0
10833,MATH1341,40.0
12816,MATH1342,37.0
10180,MATH1342,19.0
11524,MATH1342,37.0
11423,MATH1342,51.0
11560,MATH1342,29.0
12725,MATH1342,47.0
10474,MATH1342,28.0
10832,MATH1342,37.0
12339,MATH1342,47.0
12399,MATH1342,38.0
13148,MATH1342,17.0
13146,MATH1342,22.0
10715,ME4555,56.0
11816,ME4555,32.0
12300,PSYC2320,37.0
13209,PSYC2320,40.0
13304,PSYC2320,35.0
10342,ACCT3403,42.0
17236,AFCS3120,3.0
17861,ARCH5330,29.0
17862,ARCH5330,30.0
11313,ARTD3460,6.0
12047,ARTD3480,16.0
12127,ARTG3350,13.0
13882,ARTG3464,15.0
13373,ARTH2210,19.0
14572,ARTH4000,16.0
12182,BIOE3210,31.0
16557,BIOL5543,38.0
12018,BUSN3110,42.0
12396,CHEM1161,50.0
12396,CHEM1161,50.0
16203,COMM1113,19.0
16205,COMM1320,29.0
10666,COMM2301,34.0
13799,COMM3304,14.0
12755,COMM3409,17.0
12563,CRIM3030,17.0
14409,CRIM3120,20.0
14501,CS3800,83.0
18441,CS4130,22.0
19744,ECON4916,12.0
13652,EEMB3460,56.0
16429,ENGL1700,30.0
17769,ENTR4501,26.0
11434,GAME1850,17.0
10380,HIST4701,5.0
12072,HONR1310,10.0
19589,HONR3310,9.0
13547,HSCI1106,36.0
10716,IE3425,48.0
13743,INNO2304,37.0
10252,INTB1203,40.0
16457,INTL1101,30.0
12003,INTL2718,34.0
19594,LAW3102,35.0
15015,MATH1465,21.0
11805,MKTG4506,40.0
13132,MUSI1230,14.0
13136,MUST1220,16.0
10102,PHIL1115,98.0
14790,PHIL1145,40.0
17363,PHIL3305,29.0
15728,PHSC5110,82.0
15728,PHSC5110,82.0
15728,PHSC5110,82.0
15728,PHSC5110,82.0
15728,PHSC5110,82.0
15728,PHSC5110,82.0
15728,PHSC5110,82.0
15728,PHSC5110,82.0
15728,PHSC5110,82.0
12326,PHTH4120,11.0
14533,PHTH4540,22.0
13107,POLS2358,11.0
12196,POLS3160,22.0
19711,POLS3310,17.0
10789,PSYC3451,49.0
14186,PSYC3458,74.0
11009,SCHM2301,42.0
