student_id,exam_num,CRN,Course,Day,Block,Room,Capacity,Size,Valid
1914200,1,16001,PSYC2320,Fri,4 (7:00–9:00),BOS-Kariotis-110,40,40,True
1915815,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
1916359,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1920428,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1921640,1,20322,ARTG1291,Thu,0 (9:00–11:00),BOS-Ryder-299,14,14,True
1924679,1,14239,MUSC1905,Thu,4 (7:00–9:00),BOS-West Village -108H,68,68,True
1925221,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
1926548,1,20319,ARTG1291,Thu,4 (7:00–9:00),JDOAAI - Classroom - 116,13,13,True
1927944,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1946412,1,12308,ARCH5115,Sat,0 (9:00–11:00),BOS-Ryder-205,18,10,True
1962052,1,10385,ACCT1201,Mon,1 (11:30–1:30),BOS-Ryder-429,42,42,True
1962052,2,13980,ECON1116,Mon,4 (7:00–9:00),BOS-Snell Engineering-108,184,180,True
1962052,3,11196,ECON1126,Tue,3 (4:30–6:30),BOS-INV-022,44,44,True
1962052,4,12356,INTB1203,Thu,1 (11:30–1:30),BOS-Ryder-217,42,40,True
1962052,5,11093,BUSN1102,Thu,4 (7:00–9:00),BOS-Kariotis-302,30,30,True
1962052,6,10224,BUSN1101,Sat,0 (9:00–11:00),BOS-Dodge-140,36,16,True
1977776,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
1979285,1,11864,EMGT5220,Thu,2 (2:00–4:00),BOS-Ryder-269,20,2,True
1982019,1,21497,HUSV2440,Sun,4 (7:00–9:00),BOS-Snell Library-009,22,22,True
1982456,1,14239,MUSC1905,Thu,4 (7:00–9:00),BOS-West Village -108H,68,68,True
1983992,1,10154,CRIM3000,Thu,3 (4:30–6:30),BOS-HASTINGS-207,29,29,True
1988063,1,10483,CRIM3700,Sun,3 (4:30–6:30),BOS-Hayden-424,36,36,True
1988443,1,13000,MUSC1915,Tue,3 (4:30–6:30),BOS-Ryder-275,20,2,True
1990046,1,20320,ARTG1291,Fri,1 (11:30–1:30),BOS-Ryder-299,14,14,True
1990850,1,20317,ARTG1291,Mon,0 (9:00–11:00),BOS-Ryder-291,20,14,True
1991081,1,20320,ARTG1291,Fri,1 (11:30–1:30),BOS-Ryder-299,14,14,True
1993708,1,10358,FINA3303,Mon,1 (11:30–1:30),BOS-Richards-238,42,42,True
1993996,1,10417,PSYC3400,Mon,2 (2:00–4:00),BOS-Shillman-420,76,76,True
1994211,1,15767,EESC2000,Wed,4 (7:00–9:00),BOS-Ryder-145,12,12,True
1994998,1,13209,SUEN6340,Wed,0 (9:00–11:00),Cahners-002,20,3,True
1996019,1,14101,BIOL3421,Sat,4 (7:00–9:00),BOS-Snell Library-117,49,49,True
1997084,1,20317,ARTG1291,Mon,0 (9:00–11:00),BOS-Ryder-291,20,14,True
1998316,1,13703,MUSC1915,Wed,0 (9:00–11:00),BOS-Ryder-275,20,11,True
1998316,2,12403,MUSC1906,Fri,2 (2:00–4:00),BOS-West Village -108H,68,68,True
2000078,1,20315,ARTG1291,Wed,4 (7:00–9:00),BOS-Ryder-299,14,14,True
2000297,1,12418,BIOL4701,Mon,4 (7:00–9:00),271 Huntington-252,16,16,True
2001233,1,12403,MUSC1906,Fri,2 (2:00–4:00),BOS-West Village -108H,68,68,True
2001804,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2001862,1,12404,MUSC1907,Thu,0 (9:00–11:00),BOS-Hayden-424,36,36,True
2003133,1,12404,MUSC1907,Thu,0 (9:00–11:00),BOS-Hayden-424,36,36,True
2003196,1,19997,HIST1270,Thu,2 (2:00–4:00),JDOAAI -Classroom - 114,18,10,True
2003216,1,20322,ARTG1291,Thu,0 (9:00–11:00),BOS-Ryder-299,14,14,True
2003293,1,17589,MUSC2313,Thu,0 (9:00–11:00),BOS-Ryder-202,17,17,True
2007175,1,20316,ARTG1291,Thu,1 (11:30–1:30),BOS-Snell Library-047,14,14,True
2007851,1,14239,MUSC1905,Thu,4 (7:00–9:00),BOS-West Village -108H,68,68,True
2007860,1,13287,CRIM3600,Mon,3 (4:30–6:30),BOS-East Village -008,20,20,True
2008724,1,17004,CRIM1110,Mon,1 (11:30–1:30),BOS-Hayden-424,36,36,True
2008728,1,15676,MUSC2210,Wed,2 (2:00–4:00),BOS-Behrakis Building-210,16,15,True
2009336,1,12308,ARCH5115,Sat,0 (9:00–11:00),BOS-Ryder-205,18,10,True
2009540,1,22556,PHIL1165,Wed,0 (9:00–11:00),BOS-Ryder-452,26,25,True
2009692,1,15400,GE5030,Fri,0 (9:00–11:00),BOS-Ryder-269,20,2,True
2010779,1,13444,BIOE5820,Wed,0 (9:00–11:00),BOS-Ryder-204,15,15,True
