student_id,Exam 1,Exam 2,Exam 3,Exam 4,Exam 5,Exam 6,Exam 7,Exam 8
2510315,15618 | BIOC1000 | Wed 1 (11:30–1:30) | BOS-Dodge-119 | cap 63 | size 63 | valid True,12388 | BIOL1107 | Wed 4 (7:00–9:00) | BOS-Richards-236 | cap 149 | size 147 | valid True,,,,,,
2510364,10195 | CHEM1153 | Fri 3 (4:30–6:30) | BOS-Snell Library-123 | cap 40 | size 39 | valid True,12518 | CHEM1151 | Mon 3 (4:30–6:30) | BOS-Richards-458 | cap 117 | size 116 | valid True,12174 | GE1501 | Thu 0 (9:00–11:00) | BOS-Ell-311 | cap 28 | size 28 | valid True,11108 | GE1000 | Thu 2 (2:00–4:00) | BOS-INV-014 | cap 21 | size 21 | valid True,,,,
2510399,15248 | BIOL1000 | Fri 1 (11:30–1:30) | BOS-Forsyth-130 | cap 40 | size 39 | valid True,12517 | MATH1341 | Tue 3 (4:30–6:30) | BOS-Kariotis-011 | cap 51 | size 49 | valid True,12388 | BIOL1107 | Wed 4 (7:00–9:00) | BOS-Richards-236 | cap 149 | size 147 | valid True,,,,,
2510407,11769 | CS1800 | Fri 3 (4:30–6:30) | BOS-Richards-236 | cap 149 | size 126 | valid True,11194 | CS2500 | Mon 2 (2:00–4:00) | BOS-Behrakis Building-310 | cap 103 | size 102 | valid True,11361 | ENGW1111 | Sat 1 (11:30–1:30) | BOS-Ryder-161 | cap 36 | size 19 | valid True,16104 | CS1802 | Tue 1 (11:30–1:30) | BOS-Ryder-452 | cap 26 | size 26 | valid True,13036 | MATH1365 | Wed 1 (11:30–1:30) | BOS-HASTINGS-102 | cap 42 | size 42 | valid True,,,
2510410,12894 | CHEM1153 | Fri 2 (2:00–4:00) | BOS-Forsyth-235 | cap 39 | size 39 | valid True,12119 | CHEM1151 | Fri 4 (7:00–9:00) | BOS-Richards-458 | cap 117 | size 116 | valid True,12344 | GE1000 | Thu 3 (4:30–6:30) | BOS-Ryder-283 | cap 20 | size 20 | valid True,,,,,
2510420,13980 | ECON1116 | Mon 4 (7:00–9:00) | BOS-Snell Engineering-108 | cap 184 | size 180 | valid True,11196 | ECON1126 | Tue 3 (4:30–6:30) | BOS-INV-022 | cap 44 | size 44 | valid True,,,,,,
2510447,16424 | ACCT1201 | Thu 4 (7:00–9:00) | BOS-Forsyth-129 | cap 38 | size 37 | valid True,15779 | BUSN1102 | Tue 4 (7:00–9:00) | BOS-Richards-241 | cap 27 | size 27 | valid True,11341 | ENGW1111 | Wed 2 (2:00–4:00) | BOS-Ryder-283 | cap 20 | size 18 | valid True,,,,,
2510468,17255 | CHEM1000 | Thu 2 (2:00–4:00) | BOS-Hayden-424 | cap 36 | size 36 | valid True,,,,,,,
2510478,10385 | ACCT1201 | Mon 1 (11:30–1:30) | BOS-Ryder-429 | cap 42 | size 42 | valid True,13980 | ECON1116 | Mon 4 (7:00–9:00) | BOS-Snell Engineering-108 | cap 184 | size 180 | valid True,10041 | INTB1203 | Thu 2 (2:00–4:00) | BOS-Snell Library-123 | cap 40 | size 40 | valid True,11196 | ECON1126 | Tue 3 (4:30–6:30) | BOS-INV-022 | cap 44 | size 44 | valid True,11094 | BUSN1102 | Wed 3 (4:30–6:30) | BOS-Richards-237 | cap 28 | size 28 | valid True,,,
2510487,10927 | BUSN1101 | Fri 0 (9:00–11:00) | BOS-Ryder-293 | cap 20 | size 19 | valid True,13980 | ECON1116 | Mon 4 (7:00–9:00) | BOS-Snell Engineering-108 | cap 184 | size 180 | valid True,10041 | INTB1203 | Thu 2 (2:00–4:00) | BOS-Snell Library-123 | cap 40 | size 40 | valid True,11196 | ECON1126 | Tue 3 (4:30–6:30) | BOS-INV-022 | cap 44 | size 44 | valid True,11094 | BUSN1102 | Wed 3 (4:30–6:30) | BOS-Richards-237 | cap 28 | size 28 | valid True,,,
